"Code","Pen","System","Trial","Sampling_time","Sampling_date","Chicken_body_weight","TBARS","Salmonella","Campylobacter","Clostridium","Cortisol","FPD","Haptoglobin","CRP","LPS","Observations","Comments","Treatment","Sex","Replicate","Breed","Crypt_depth_caecum","Acidic_goblet_cell_number_caecum","Mixed_goblet_cell_number_caecum","Total_goblet_cell_number_caecum","Acidic_goblet_cell_density_caecum","Mixed_goblet_cell_density_caecum","Total_goblet_cell_density_caecum","Acetic_acid_caecum","Propionic_acid_caecum","i.Butyric_acid_caecum","n.Butyric_acid_caecum","i.Valeric_acid_caecum","n.Valeric_acid_caecum","Total_SCFAs_caecum","Total_branch_chain_fatty_acids_caecum","Putrescin_caecum","Histamin_caecum","Cadaverin_caecum","Spermidin_caecum","Tyramin_caecum","Spermin_caecum","Gesamtamine_caecum","L.Laktat_caecum","D.Laktat_caecum","Total_lactate_caecum","L.D_lactic_ratio_caecum","Ammonium_caecum","Acetic.totalFA_ratio_caecum","Propionic.totalFA_ratio","iButyric.totalFA_ratio_caecum","nButyric.totalFA_ratio_caecum","iValeria.totalFA_ratio_caecum","nValeric.totalFA_ratio_caecum","IL1_caecum","IL2_caecum","IL4_caecum","IL6_caecum","IL8_caecum","IL10_caecum","IL12_caecum","IL17_caecum","IL18_caecum","TNFa_caecum","IFNg_caecum","TGFb_caecum","MUC2_caecum","CLN5_caecum","Villi_height_ileum","Villi_width_ileum","Crypt_depth_ileum","VH.CD_ratio_ileum","Epithelial_area_ileum","Acidic_goblet_cell_number_ileum","Mixed_goblet_cell_number","Total_goblet_cell_number_ileum","Acidic_goblet_cell_density_ileum","Mixed_goblet_cell_density_ileum","Total_goblet_cell_density_ileum","Acetic_acid_ileum","Propionic_acid_ileum","i.Butyric_acid_ileum","n.Butyric_acid_ileum","i.Valeric_acid_ileum","n.Valeric_acid_ileum","Total_SCFAs_ileum","Total_branch_chain_fatty_acids_ileum","Putrescin_ileum","Histamin_ileum","Cadaverin_ileum","Spermidin_ileum","Tyramin_ileum","Spermin_ileum","Gesamtamine_ileum","L.Laktat_ileum","D.Laktat_ileum","Total_lactate_ileum","L.D_lactic_ratio_ileum","Ammonium_ileum","Acetic.totalFA_ratio_ileum","Propionic.totalFA_ratio_ileum","iButyric.totalFA_ratio_ileum","nButyric.totalFA_ratio_ileum","iValeria.totalFA_ratio_ileum","nValeric.totalFA_ratio_ileum","IL1_ileum","IL2_ileum","IL4_ileum","IL6_ileum","IL8_ileum","IL10_ileum","IL12_ileum","IL17_ileum","IL18_ileum","TNFa_ileum","IFNg_ileum","TGFb_ileum","MUC2_ileum","CLN5_ileum"
"CA17.13","CA17","Chicken","CA","Day 35","11/03/2019",1659.2,NA,"-","-","-",13.34,NA,28.33,0.29,10.36,"","","CO","Male","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA17.14","CA17","Chicken","CA","Day 35","11/03/2019",2230.8,NA,"-","-","-",13.56,NA,0,0.44,13.23,"","","CO","Male","R2","Ross",273.055,3.9,32,35.9,1.354543359,11.20729987,12.56184323,108.9957215,5.859435233,0.692704103,22.39582987,"0.447647121",0.79008826,139.1814261,1.496470695,0.0131,0,0.0197,1.109007385,0,0.0459,1.187753472,0.0291,0.13813138,0.167211671,4.75,14.50785985,0.785779514,0.0414,0.00407,0.159157771,0.00459,0.00502,-3.052,-4.147,-3.55,-4.857,-1.866,-4.756,-3.363,-2.644,-2.154,-3.519,-2.378,-0.772,NA,-1.325,586.572,132.198,151.803,3.864034308,77.54364526,61.46893711,29.04184565,90.51078275,"8.527876957",4.029112881,12.55698984,1.866711652,0.200418171,0,0,0,0.0178,2.084921669,0,0,0,0,0.0146,0,0.00973,0.0243,7.332480018,0.85091054,8.183390558,0.116046759,1.342862745,0.895338985,0.0961,0,0,0,0.00853,-2.723,-5.503,-3.844,-5.662,-2.965,-4.85,-3.735,-3.414,-2.697,-3.422,-2.512,-1.2,0.188,-2.011
"CA17.15","CA17","Chicken","CA","Day 35","12/03/2019",2475,NA,"-","-","-",21.06,NA,0,0.5,11.74,"","","CO","Male","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA17.16","CA17","Chicken","CA","Day 35","12/03/2019",2389.8,NA,"-","-","-",16.03,NA,0,0.45,10.43,"","","CO","Male","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA17.17","CA17","Chicken","CA","Day 35","13/03/2019",2233.6,NA,"-","-","-",22.47,NA,0,0.23,9.79,"","","CO","Male","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA17.18","CA17","Chicken","CA","Day 35","13/03/2019",2335.6,NA,"-","-","-",10.78,NA,0,0.41,15.14,"","","CO","Male","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.01","CA18","Chicken","CA","Day 7","11/02/2019",155.6,NA,"-","-","-",6.4,NA,214.88,0.29,16.39,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.02","CA18","Chicken","CA","Day 7","11/02/2019",170,NA,"-","-","-",7.99,NA,184.79,0.48,15.47,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.03","CA18","Chicken","CA","Day 7","11/02/2019",183,NA,"-","-","-",10.84,NA,211.09,0.76,12.84,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.04","CA18","Chicken","CA","Day 7","12/02/2019",250.6,NA,"-","-","-",24.44,NA,788.18,0.32,14,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.05","CA18","Chicken","CA","Day 7","12/02/2019",210.6,NA,"-","-","-",11.37,NA,1282.42,0.31,12.71,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.06","CA18","Chicken","CA","Day 7","12/02/2019",164.4,NA,"NS","NS","NS",8.12,NA,48.93,0.33,14.93,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,-2.969,-5.076,-4.557,-5.034,-2.89,-6.417,-4.685,-4.132,-3.034,-3.143,-2.793,-1.456,-0.743,-2.395,356,121.2,116.6,3.053173242,43.1472,8.9,96.476,105.376,"2.5",27.1,29.6,1.22362,0.332394,0.0767,0,0,0.0254,1.6581309,0.0767,0.0309,0,0.0103,0.0567,0,0.0309,0.128943733,15.56355586,2.841334099,18.40488995,0.182563299,1.97499932,0.737951389,0.200463064,0.0463,0,0,0.0153,0.082,-0.215,0.133,-3.391,-5.163,-1.769,-4.872,-2.532,-6.457,-4.466,-3.277,-2.897,-2.943,-1.769
"CA18.07","CA18","Chicken","CA","Day 21","25/02/2019",932.4,NA,"-","-","-",11.99,NA,48.58,1.08,17.67,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.08","CA18","Chicken","CA","Day 21","25/02/2019",883.6,NA,"-","-","-",4.85,NA,46.95,0.59,15.25,"","","CC","Female","R2","Cobb",366.6,15,19.8,34.8,4.123151573,5.356270544,9.479422117,57.53881107,2.296622191,0.606267421,10.75465287,"0.30548676",0.372214213,71.87405452,0.911754181,NA,NA,NA,NA,NA,NA,NA,0.348271663,1.371642974,1.719914637,3.938428301,NA,0.800550511,0.032,0.00844,0.149631921,0.00425,0.00518,-3.095,-4.96,-3.372,-6.167,-3.296,-6.145,-4.788,-4.962,-2.95,-2.896,-2.707,-1.063,-1.052,-2.101,643.5,121.9,174.4,3.689793578,78.44265,26.3835,115.83,142.2135,"4.1",18,22.1,3.78132,0.032,0.0677,0,0,0.00381,3.88483928,0.0677,0.0251,NA,0.00501,0.0401,0,0.0201,0.140386596,27.36083824,13.57505294,40.93589118,0.496149015,2.485332884,0.973353008,0.00824,0.0174,0,0,0.000981,-1.109,-4.155,-2.011,-4.085,-2.217,-4.627,-2.565,-3.231,-1.586,-1.826,-0.489,1.503,1.834,-0.404
"CA18.09","CA18","Chicken","CA","Day 21","25/02/2019",1149.8,NA,"-","-","-",10.34,NA,51.25,0.29,15.33,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.10","CA18","Chicken","CA","Day 21","26/02/2019",1035.4,NA,"-","-","-",14.06,NA,47.26,0.64,16.88,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.11","CA18","Chicken","CA","Day 21","26/02/2019",832,NA,"-","-","-",8.63,NA,52.89,0.56,15.67,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.12","CA18","Chicken","CA","Day 21","26/02/2019",931.2,NA,"-","-","-",14.25,NA,48.69,0.44,15.33,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.13","CA18","Chicken","CA","Day 35","11/03/2019",1998.6,NA,"-","-","-",11.78,NA,0,0.39,10.86,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.14","CA18","Chicken","CA","Day 35","11/03/2019",2250.8,NA,"-","-","-",14.08,NA,0,0.98,10.72,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.15","CA18","Chicken","CA","Day 35","12/03/2019",2392.6,NA,"-","-","-",14.33,NA,0,3.19,48.43,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.16","CA18","Chicken","CA","Day 35","12/03/2019",2176,NA,"-","-","-",12.08,NA,0,1.16,49.89,"","","CC","Female","R2","Cobb",256.062,7,25.1,32.1,2.815120427,9.881287033,12.69640746,89.84694487,7.186189656,0.551667421,14.19487631,"0.304738049",0.54589081,112.6303071,1.131365899,0,0,0.0268,1.133270727,0,0.00671,1.166799447,0.108525704,0.55300924,0.661534945,5.095652174,10.08141897,0.783401611,0.0662,0.00553,0.13639361,0.00312,0.00536,-3.363,-4.139,-3.594,-4.947,-2.517,-4.865,-3.608,-3.479,-2.365,-3.531,-2.484,-0.974,-0.271,-1.565,467.23,115.04,137.501,3.398011651,53.7501392,60.921,70.1075,131.0285,"12.6",14.5,27.1,2.700727058,0.111547455,0,0,0,0,2.812274514,0,0.0722,0.0258,0.159816869,0.0103,0,0.00516,0.273235293,17.49305461,7.665872205,25.15892682,0.438223762,1.975779464,0.960335503,0.0397,0,0,0,0,-3.037,-5.493,-4.398,-5.98,-3.35,-5.066,-3.726,-4.036,-2.761,-3.77,-2.84,-1.295,-0.009,-2.052
"CA18.17","CA18","Chicken","CA","Day 35","13/03/2019",2244.4,NA,"-","-","-",12.82,NA,11.8,1.62,47.27,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA18.18","CA18","Chicken","CA","Day 35","13/03/2019",2340.2,NA,"-","-","-",14.97,NA,37.71,0.99,45.54,"","","CC","Female","R2","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA19.01","CA19","Chicken","CA","Day 7","11/02/2019",151.4,NA,"-","-","-",6.74,NA,7.86,0.36,13.1,"","","CO","Female","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,-3.582,-5.05,-4.306,-4.42,-2.961,-6.28,-4.633,-3.609,-2.989,-3.379,-3.29,-1.566,-0.617,-2.432,309.9,99.7,100.6,3.080516899,30.89703,5.2683,47.7246,52.9929,"1.7",15.4,17.1,2.06721,0.068,0.113961,0,0.0187,0.0182,2.2860323,0.1326896,0,0.0671,0,0.0258,0.232180095,0.0103,0.335371248,48.55072504,20.75240225,69.3031273,0.427437535,3.868172175,0.904278562,0.0297,0.0499,0,0.00819,0.00795,-0.026,-0.172,0.198,-3.09,-6.597,-2.067,-4.528,-2.476,-6.458,-4.234,-2.814,-2.835,-3.14,-2.067
"CA19.02","CA19","Chicken","CA","Day 7","11/02/2019",182.2,NA,"NS","NS","NS",8.74,NA,119.05,1.12,15.93,"","","CO","Female","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA19.03","CA19","Chicken","CA","Day 7","11/02/2019",173.6,NA,"NS","NS","NS",8.7,NA,134.06,0.35,15.65,"","","CO","Female","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA19.04","CA19","Chicken","CA","Day 7","12/02/2019",196.2,NA,"NS","NS","NS",16.64,NA,54.55,0.33,13.48,"","","CO","Female","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA19.05","CA19","Chicken","CA","Day 7","12/02/2019",191,NA,"NS","NS","NS",11.89,NA,75.29,0.59,13.57,"","","CO","Female","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA19.06","CA19","Chicken","CA","Day 7","12/02/2019",208,NA,"-","-","-",10.66,NA,81.98,0.29,12.76,"","","CO","Female","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA19.07","CA19","Chicken","CA","Day 21","25/02/2019",935.4,NA,"-","-","-",10.57,NA,45.96,0.39,2256.2,"","","CO","Female","R2","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
